phase	duration	avgnrg	numhalfcycles	elapsedtime	lifetime_s	lifetime_asq	deltanrg	coilnrg	nrgloss	coiladj
25	7	11.429	105	108.291	810.699	594.906	4.511	7.747	2.08	0.8507809475
25	7	12.76	100	99.8208	625.855	801.555	2.938	6.254	1.589	0.7238567317
30	7	10.846	106	110.515	766.716	721.076	2.103	4.955	1.662	0.7598385469
30	7	10.017	102	106.116	549.266	592.776	1.429	4.127	1.793	0.7807123819
45	15	10.626	102	106.23	789.214	893.994	-0.575	1.322	1.263	0.5204236006
45	15	8.868	110	114.691	654.12	692.159	1.07	2.107	1.138	1.047935453
30	15	12.884	118	105.867	842	846.518	3.062	7.502	4.686	1.032791256
20	10	7.288	103	107.294	724.64	674.884	8.591	12.044	1.149	0.8087014281
20	10	8.275	103	104.934	735.664	591.878	12.639	12.583	1.467	1.121036319
15	10	0.902	112	112.708	1000.52	838.541	0.998342	1.322	0.121271	0.846908472
15	10	6.967	101	104.895	827.247	687.15	7.456	10.57	1.063	0.8059602649
45	10	4.088	117	117.207	780.22	909.922	5.687	5.46	0.664659	1.163307509
45	10	6.088	100	104.274	784.123	771.021	1.629	3.255	0.823	0.7533026114
25	10	6.668	108	112.293	692.164	657.942	8.077	10.565	1.138	0.872219593
17	5	5.234	108	112.056	849.31	830.795	3.433	4.969	0.705949	0.8329541155
17	5	8.127	108	112.288	719.866	614.507	4.744	7.557	1.485	0.8242688898
20	7	4.093	100	102.946	723.13	867.666	3.82	5.558	0.485	0.774559194
20	7	8.563	100	104.048	810.455	733.459	6.026	9.714	1.215	0.7454189829
