phase	duration	avgnrg	numhalfcycles	elapsedtime	lifetime_s	lifetime_asq	deltanrg	coilnrg	nrgloss	coiladj
25	7	12.943	100	101.167	429.133	454.661	-3.19	1.487	2.947	-0.1634162744
25	7	14.52065	100	101.165	527.65	552.882	-3.137	1.283	2.651	-0.3787996882
25	7	7.875	101	102.104	722.287	777.611	-1.192	1.885	1.027	-0.0875331565
75	15	4.941	102	103.167	801.266	816.074	-0.648	1.029	0.614057	-0.03298639456
45	15	3.043	107	108.17	743.06	765.235	-0.40035	1.345	0.430137	0.0221464684
45	15	24.777	100	101.13	422.052	429.901	-6.064	-89.043	5.827	0.00266163539
25	30	5.98	101	101.954	633.338	595.58	-1.292	4.001	1.008	-0.07098225444
25	30	4.326	103	104.23	787.484	720.63	-0.631908	2.95	6.5	1.989183729
25	69	2.302	100	101.152	708.266	606.666	-0.344875	2.811	0.383846	0.01386374956
25	69	1.56	100	101.452	706.391	956.305	-0.162	1.768	0.165	0.001696832579
20	20	1.173	106	107.424	714.434	950.347	-0.151674	0.392887	0.132581	-0.04859667029
20	20	0.73578	102	122.945	149.207	175.998	-0.69099	0.289681	0.513984	-0.6110376587
20	15	2.15	103	104.016	656.884	669.997	-1.006	2.15	0.952042	-0.02509674419
20	15	4.544	102	103.092	829.267	708.942	-0.620361	1.544	0.660835	0.02621373057
15	15	3.557	104	105.419	829.836	718.796	-0.491256	0.881616	0.52164	0.03446398432
15	15	2.349	102	103.444	571.123	814.393	-0.323602	0.528871	0.298423	-0.04760896324
15	90	1.752	100	101.22	663.757	832.608	-0.218627	1.654	0.212952	-0.003431076179
15	90	1.343	100	101.127	553.336	896.031	-0.156741	1.654	0.151569	-0.003126964933
40	60	1.032	115	116.972	0.428451	826.103	-0.143734	1.533	0.146135	0.001566210046
